User,ImageID,Correctness,Confidence,Comments
R2,33,1,2,
R2,17,1,2,
R2,35,1,2,
R2,8,1,2,
R2,12,1,2,
R2,3,1,2,
R2,19,1,2,
R2,23,1,1,
R2,21,1,3,
R2,39,0,3,
R2,26,1,2,
R2,2,1,1,
R2,20,0,2,
R2,22,1,1,
R2,7,1,1,
R2,36,1,1,
R2,38,0,2,
R2,9,1,2,
R2,15,1,1,
R2,31,1,2,
R2,16,1,2,
R2,32,1,2,
R2,6,1,2,
R2,34,0,1,
R2,4,0,1,
R2,30,1,2,
R2,25,1,2,
R2,5,1,1,
R2,18,0,1,
R2,1,1,1,
R2,0,1,2,
R2,29,1,2,
R2,27,1,2,
R2,14,1,2,
R2,13,0,1,
R2,11,0,1,
R2,28,1,1,
R2,10,1,2,
R2,37,1,2,
R2,24,1,4,
